job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://uk.linkedin.com/jobs/view/senior-support-worker-at-belong-3646122636,2024-01-19 09:45:09.215838+00,f,f,f,Senior Support Worker,Belong,"Newcastle-under-Lyme, England, United Kingdom",2024-01-17,Telford,United Kingdom,Warm-In Worker,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/registered-nurse-registered-psychiatric-nurse-rn-rpn-long-term-care-at-interior-health-authority-3781533410,2024-01-19 09:45:09.215838+00,f,f,f,Registered Nurse/Registered Psychiatric Nurse (RN/RPN) | Long-term Care,Interior Health Authority,"Golden, British Columbia, Canada",2024-01-17,Bonavista,Canada,Washer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-solutions-group-senior-accounting-associate-at-pkf-o-connor-davies-3744446266,2024-01-21 05:02:42.376759+00,t,t,f,Business Solutions Group Senior Accounting Associate,PKF O'Connor Davies,"Boston, MA",2024-01-17,Beverly,United States,Supervisor Payroll,Mid senior,Onsite
https://www.linkedin.com/jobs/view/clerk-administrative-support-casual-at-independence-health-system-westmoreland-area-3807784069,2024-01-21 06:24:02.830735+00,t,t,f,CLERK/ADMINISTRATIVE SUPPORT-CASUAL,Independence Health System - Westmoreland Area,"Greensburg, PA",2024-01-17,Blairsville,United States,Supervisor Show Operations,Mid senior,Onsite
https://www.linkedin.com/jobs/view/safety-supervisor-at-unifi-3748257684,2024-01-19 14:01:50.895321+00,t,t,f,Safety Supervisor,Unifi,"Atlanta, GA",2024-01-17,Smyrna,United States,Supervisor Laundry,Mid senior,Onsite
https://www.linkedin.com/jobs/view/ultrasound-technologist-at-gotham-enterprises-ltd-3791141398,2024-01-21 15:01:36.882057+00,t,t,f,Ultrasound Technologist,Gotham Enterprises Ltd,"Scottsdale, AZ",2024-01-17,Chandler,United States,Ultrasound Technologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/regional-continuous-improvement-manager-at-morgan-truck-body-3761263567,2024-01-20 15:06:02.058211+00,t,t,f,Regional Continuous Improvement Manager,Morgan Truck Body,"Ehrenberg, AZ",2024-01-17,Arizona,United States,Supervisor Mapping,Mid senior,Onsite
https://www.linkedin.com/jobs/view/leasing-manager-at-the-goodman-group-llc-3803736858,2024-01-20 15:05:41.95683+00,t,t,f,Leasing Manager,"The Goodman Group, LLC","Hopkins, MN",2024-01-17,South Saint Paul,United States,Supervisor Laundry,Mid senior,Onsite
https://www.linkedin.com/jobs/view/technical-product-manager-with-java-development-experience-1-10-24-at-systems-technology-group-inc-stg-3798672158,2024-01-20 00:07:53.041633+00,t,t,f,Technical Product Manager with Java Development Experience 1.10.24,"Systems Technology Group, Inc. (STG)","Dearborn, MI",2024-01-17,Oak Park,United States,Technical Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/member-advisor-i-at-red-canoe-credit-union-3807526796,2024-01-19 17:35:59.662251+00,t,t,f,Member Advisor I,Red Canoe Credit Union,"Covington, WA",2024-01-17,Seattle,United States,Teller Vault,Mid senior,Onsite
https://www.linkedin.com/jobs/view/x-ray-technologist-bronx-at-summit-health-3802978202,2024-01-19 09:45:09.215838+00,f,f,f,X-Ray Technologist - Bronx,Summit Health,"Bronx, NY",2024-01-17,North Hempstead,United States,Ultrasound Technologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/bps-area-sales-manager-at-safety-kleen-3800439575,2024-01-20 01:23:33.237878+00,t,t,f,BPS Area Sales Manager,Safety-Kleen,"Norcross, GA",2024-01-17,Atlanta,United States,Supervisor Refining,Mid senior,Onsite
